id,title,vote_average,overview,revenue,release_date
118365,"Moses, Prince of Egypt",5.5,"At birth, Moses, a Hebrew baby is abandoned on the Nile by his mother. The wife of Pharaoh finds the small and decides to raise him as his own son. Moses grows Egyptian with his brother, Ramses, between games and pranks. When Moses became a man discovers the truth about his birth and, confused, flees into the wilderness. There he joins a group of nomadic Hebrews and is pastor. One day, God appears as a burning bush and entrusted with the mission to free the Hebrew slaves that holds the Pharaoh. Moses returns to Egypt to demand the release of his people and found that Rameses has become the new Pharaoh.",0,2000-01-01
10567,Dinosaur,6.5,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,354248063,2000-05-19
4247,Scary Movie,6.3,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",278019771,2000-07-07
8871,How the Grinch Stole Christmas,6.7,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",345141403,2000-11-17
11688,The Emperor's New Groove,7.5,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",169327687,2000-12-15
10501,The Road to El Dorado,7.2,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?",76432727,2000-03-31
16366,Joseph: King of Dreams,6.6,"In this animated retelling of the story from the Bible's Book of Genesis, Joseph's gift of dream interpretation and his brilliantly colored coat inspires jealousy in his brothers.",0,2000-11-07
98,Gladiator,8.2,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",465361176,2000-05-01
9532,Final Destination,6.5,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",112880294,2000-03-17
7443,Chicken Run,6.7,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Ginger the chicken along with the help of Rocky the American rooster decide to rebel and lead their fellow chickens in a great escape from the murderous farmers Mr. and Mrs. Tweedy and their farm of doom.",224834564,2000-06-21
77,Memento,8.2,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",39723096,2000-10-11
